model,iteration,validation_rmse,validation_mae,validation_r2,params
Random Forest,2,27.737974465591805,17.49606240532891,0.6685590980229059,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}"
Random Forest,15,28.505427539028915,17.958218300674805,0.6499647897916214,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 200}"
XGBoost,7,21.180805757420842,12.315108843328886,0.8067401807444744,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 0.7}"
XGBoost,12,21.238055500354708,12.288308656466837,0.8056940423038321,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}"
XGBoost,11,21.270484306144184,12.340566128154242,0.8051002100850161,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 0.85}"
XGBoost,5,21.31537707846422,12.293807211185003,0.8042766439578207,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 10, ""subsample"": 0.85}"
XGBoost,18,21.469937197815383,12.44703400981291,0.8014279303839121,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 1, ""subsample"": 0.85}"
XGBoost,3,21.53741997251397,12.263355733200642,0.8001776935174623,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 1.0}"
XGBoost,15,21.558975170755435,12.53188464784545,0.7997775188617027,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 0.85}"
XGBoost,2,21.562889872261323,12.532801947137719,0.7997047990403888,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 0.85}"
XGBoost,14,21.576711999877002,12.319067880206982,0.7994479324356591,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 1.0}"
XGBoost,21,21.600117781978554,12.32880906502277,0.7990125904806591,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_lambda"": 1, ""subsample"": 1.0}"
XGBoost,25,21.657121099176482,12.666738756201449,0.7979503678781243,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 5, ""subsample"": 0.7}"
XGBoost,24,21.703254144493098,12.500663294552599,0.7970886566137777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 1.0}"
XGBoost,8,21.76204683644924,12.684838200542877,0.7959878205437988,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 5, ""subsample"": 0.7}"
XGBoost,22,21.78293129722611,12.783433506284,0.7955960624683807,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 1.0}"
XGBoost,6,21.87416041918573,12.705186625933532,0.7938803484083818,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}"
XGBoost,9,21.98332112145658,12.853300244688409,0.7918179782103196,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 0.85}"
XGBoost,19,22.073851043891175,13.004736166294043,0.7900998111819921,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}"
XGBoost,1,22.14182769262669,12.863639102453543,0.788805041086696,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 1.0}"
XGBoost,16,22.342620412221592,13.07444754806098,0.784957238493739,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 1, ""subsample"": 0.85}"
XGBoost,23,22.40663519080571,13.17895750713503,0.7837232171337197,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 0.85}"
XGBoost,17,22.480826157654324,13.226105541155055,0.7822886109810486,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 0.85}"
XGBoost,20,22.519551417770945,13.228518414922434,0.781537909771803,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}"
XGBoost,13,22.65150402045383,13.243611341627915,0.7789702657494383,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 5, ""subsample"": 0.7}"
XGBoost,4,23.201813538381394,13.660375599111498,0.7681001441747066,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_lambda"": 10, ""subsample"": 0.85}"
XGBoost,10,23.243269814438957,13.572798525842698,0.767270700979815,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 1, ""subsample"": 1.0}"
