data_year,weather_temp_mean_c,weather_temp_max_mean_c,weather_temp_min_mean_c,weather_precip_sum_mm,weather_hdd65,weather_cdd65,weather_hot_days_30c,weather_cold_days_minus10c
2018,9.664931506849314,13.466575342465754,5.88,1392.8,3671.433333333333,507.4666666666668,24,27
2019,9.446575342465753,13.530958904109589,5.519726027397261,1394.8,3658.7999999999997,415.13333333333344,18,26
2020,10.66311475409836,14.757103825136612,6.759562841530054,1089.5,3316.566666666666,509.2666666666668,22,10
2021,11.230684931506849,15.266849315068493,7.3,1142.8,3186.1,593.6333333333334,37,20
2022,10.02958904109589,14.28958904109589,5.824109589041097,1117.7,3549.8999999999996,519.0333333333335,26,40
2023,10.973424657534247,15.04931506849315,7.120547945205479,1245.4,3056.4666666666662,370.10000000000014,15,8
