data_year,tract_geoid,NAME,acs_median_household_income,acs_per_capita_income,acs_unemployment_rate,acs_poverty_rate,acs_no_high_school_diploma_pct,acs_bachelor_or_higher_pct,acs_total_households,acs_avg_household_size,acs_total_housing_units,acs_occupied_housing_units,acs_vacancy_rate,acs_owner_occupied_pct,acs_renter_occupied_pct,acs_crowded_housing_pct
2018,17031241000,"Census Tract 2410, Cook County, Illinois",65900.0,32398.0,4.7,28.5,53.5,1635.0,720.0,3.25,873.0,720.0,17.5,26.9,73.1,2.6
2018,17031061200,"Census Tract 612, Cook County, Illinois",112292.0,70359.0,1.0,8.2,13.0,1646.0,781.0,3.27,923.0,781.0,15.4,37.3,62.7,0.0
2018,17031061500,"Census Tract 615, Cook County, Illinois",125000.0,72538.0,2.7,6.6,20.200000000000003,1695.0,808.0,2.75,887.0,808.0,8.9,34.5,65.5,0.0
2018,17031062900,"Census Tract 629, Cook County, Illinois",128750.0,80105.0,2.2,7.4,14.599999999999994,3377.0,1822.0,2.66,1997.0,1822.0,8.8,41.2,58.8,0.0
2018,17031210700,"Census Tract 2107, Cook County, Illinois",64569.0,28737.0,6.2,22.8,61.6,3505.0,1536.0,3.72,1736.0,1536.0,11.5,38.6,61.4,2.1
2018,17031221100,"Census Tract 2211, Cook County, Illinois",55194.0,27336.0,6.1,20.4,56.5,4398.0,1931.0,3.46,2082.0,1931.0,7.3,30.9,69.1,1.7
2018,17031221200,"Census Tract 2212, Cook County, Illinois",91354.0,59686.0,4.6,9.9,36.5,2526.0,1226.0,3.01,1308.0,1226.0,6.3,38.4,61.6,0.0
2018,17031063000,"Census Tract 630, Cook County, Illinois",99213.0,70400.0,2.4,8.1,14.200000000000005,3024.0,1793.0,2.75,1887.0,1793.0,5.0,36.8,63.2,1.7000000000000002
2018,17031071200,"Census Tract 712, Cook County, Illinois",109191.0,79556.0,2.0,8.9,19.8,1740.0,978.0,2.89,1009.0,978.0,3.1,52.7,47.3,0.0
2018,17031081500,"Census Tract 815, Cook County, Illinois",103664.0,113373.0,1.6,9.7,12.599999999999994,4441.0,3076.0,2.25,4216.0,3076.0,27.0,42.2,57.8,0.7
2018,17031090300,"Census Tract 903, Cook County, Illinois",97102.0,46663.0,0.5,3.4,47.7,1063.0,497.0,3.31,543.0,497.0,8.5,80.9,19.1,1.6
2018,17031130300,"Census Tract 1303, Cook County, Illinois",56882.0,26601.0,10.8,19.5,59.2,4266.0,1790.0,3.74,1953.0,1790.0,8.3,44.5,55.5,9.7
2018,17031100600,"Census Tract 1006, Cook County, Illinois",75601.0,36901.0,3.0,5.2,62.4,3757.0,1899.0,3.28,1987.0,1899.0,4.4,77.6,22.4,2.1
2018,17031110400,"Census Tract 1104, Cook County, Illinois",69736.0,36835.0,5.0,8.2,59.5,3705.0,1847.0,2.94,2013.0,1847.0,8.2,59.4,40.6,1.7000000000000002
2018,17031120200,"Census Tract 1202, Cook County, Illinois",105833.0,52304.0,5.2,5.8,41.8,3495.0,1778.0,3.39,1786.0,1778.0,0.4,83.1,16.9,0.0
2018,17031691000,"Census Tract 6910, Cook County, Illinois",36806.0,27558.0,18.7,17.7,72.5,2129.0,1109.0,3.63,1311.0,1109.0,15.4,44.7,55.3,2.7
2018,17031710400,"Census Tract 7104, Cook County, Illinois",35274.0,19453.0,22.2,28.9,89.7,4091.0,1871.0,4.22,2252.0,1871.0,16.9,52.2,47.8,3.7
2018,17031740400,"Census Tract 7404, Cook County, Illinois",85798.0,41637.0,4.6,3.8,59.6,3583.0,1876.0,3.2,1977.0,1876.0,5.1,73.0,27.0,1.4
2018,17031770800,"Census Tract 7708, Cook County, Illinois",58909.0,27529.0,3.5,7.0,84.6,4502.0,1981.0,3.29,2107.0,1981.0,6.0,63.7,36.3,1.9
2018,17031800800,"Census Tract 8008, Cook County, Illinois",93906.0,78857.0,0.7,5.6,29.700000000000003,1754.0,979.0,2.98,1116.0,979.0,12.3,86.9,13.1,0.6
2018,17031081000,"Census Tract 810, Cook County, Illinois",60566.0,49334.0,2.6,19.9,37.0,7221.0,4381.0,2.33,5422.0,4381.0,19.2,15.9,84.1,3.2
2018,17031030400,"Census Tract 304, Cook County, Illinois",50781.0,43324.0,6.9,15.9,40.9,2232.0,1307.0,2.96,1417.0,1307.0,7.8,42.6,57.4,2.5
2018,17031480100,"Census Tract 4801, Cook County, Illinois",61495.0,31235.0,8.6,6.9,74.0,1847.0,919.0,3.23,969.0,919.0,5.2,78.8,21.2,0.0
2018,17031491100,"Census Tract 4911, Cook County, Illinois",41167.0,30404.0,16.6,18.2,74.9,3460.0,1386.0,3.66,1623.0,1386.0,14.6,74.3,25.7,1.5
2018,17031491300,"Census Tract 4913, Cook County, Illinois",30000.0,13481.0,24.9,48.8,87.6,1929.0,628.0,4.39,974.0,628.0,35.5,51.3,48.7,4.8
2018,17031510100,"Census Tract 5101, Cook County, Illinois",36081.0,17744.0,20.0,23.6,93.4,2274.0,1016.0,3.64,1225.0,1016.0,17.1,55.4,44.6,0.0
2018,17031520100,"Census Tract 5201, Cook County, Illinois",41875.0,15610.0,10.5,13.6,87.8,1314.0,484.0,4.02,678.0,484.0,28.6,67.1,32.9,9.7
2018,17031530100,"Census Tract 5301, Cook County, Illinois",35875.0,15501.0,18.5,26.6,92.6,1692.0,759.0,3.78,967.0,759.0,21.5,49.7,50.3,3.4
