data_year,tract_geoid,NAME,acs_median_household_income,acs_per_capita_income,acs_unemployment_rate,acs_poverty_rate,acs_no_high_school_diploma_pct,acs_bachelor_or_higher_pct,acs_total_households,acs_avg_household_size,acs_total_housing_units,acs_occupied_housing_units,acs_vacancy_rate,acs_owner_occupied_pct,acs_renter_occupied_pct,acs_crowded_housing_pct
2020,17031251000,"Census Tract 2510, Cook County, Illinois",36923.0,18499.0,15.1,30.6,12.5,6.1,350.0,2.85,399.0,350.0,12.3,61.4,38.6,8.6
2020,17031251100,"Census Tract 2511, Cook County, Illinois",22727.0,16873.0,11.8,32.3,30.700000000000003,8.0,1626.0,2.92,1797.0,1626.0,9.5,32.8,67.2,3.5
2020,17031251200,"Census Tract 2512, Cook County, Illinois",51192.0,19597.0,14.6,10.7,25.200000000000003,6.4,1217.0,3.72,1351.0,1217.0,9.9,59.3,40.7,4.8
2020,17031251300,"Census Tract 2513, Cook County, Illinois",30580.0,18522.0,14.0,26.2,17.900000000000006,8.4,1366.0,2.84,1810.0,1366.0,24.5,44.7,55.3,4.3
2020,17031251400,"Census Tract 2514, Cook County, Illinois",18740.0,20473.0,13.8,28.8,15.0,12.8,2051.0,1.89,2215.0,2051.0,7.4,21.5,78.5,3.0
2020,17031251500,"Census Tract 2515, Cook County, Illinois",45385.0,21565.0,20.8,27.2,26.599999999999994,14.1,1346.0,3.4,1559.0,1346.0,13.7,31.9,68.1,6.6
2020,17031251600,"Census Tract 2516, Cook County, Illinois",30938.0,12990.0,10.3,29.2,19.099999999999994,7.5,1164.0,3.68,1376.0,1164.0,15.4,32.2,67.8,4.8
2020,17031251700,"Census Tract 2517, Cook County, Illinois",52692.0,19816.0,3.0,19.6,12.599999999999994,13.6,388.0,3.23,459.0,388.0,15.5,47.7,52.3,1.5
2020,17031251800,"Census Tract 2518, Cook County, Illinois",25517.0,12049.0,23.7,45.0,14.599999999999994,10.5,1646.0,3.13,1977.0,1646.0,16.7,19.5,80.5,7.699999999999999
2020,17031251900,"Census Tract 2519, Cook County, Illinois",22939.0,16642.0,14.7,41.3,13.299999999999997,5.9,1998.0,2.38,2367.0,1998.0,15.6,22.8,77.2,9.8
2020,17031252000,"Census Tract 2520, Cook County, Illinois",25432.0,18086.0,10.9,29.1,15.299999999999997,11.3,2424.0,1.97,2732.0,2424.0,11.3,21.2,78.8,3.0
2020,17031252101,"Census Tract 2521.01, Cook County, Illinois",19265.0,36126.0,17.7,32.2,15.099999999999994,22.6,622.0,2.07,742.0,622.0,16.2,28.3,71.7,2.4
2020,17031252102,"Census Tract 2521.02, Cook County, Illinois",35949.0,15136.0,18.4,28.5,13.700000000000003,9.2,2130.0,3.03,2423.0,2130.0,12.1,49.9,50.1,11.2
2020,17031252201,"Census Tract 2522.01, Cook County, Illinois",36204.0,21225.0,18.8,29.1,17.599999999999994,12.9,984.0,2.32,1171.0,984.0,16.0,32.2,67.8,2.3
2020,17031252202,"Census Tract 2522.02, Cook County, Illinois",32173.0,17927.0,23.9,33.3,27.599999999999994,9.0,1606.0,2.7,1875.0,1606.0,14.3,28.8,71.2,1.9
2020,17031260100,"Census Tract 2601, Cook County, Illinois",19167.0,17936.0,11.8,34.2,26.900000000000006,14.1,526.0,2.28,726.0,526.0,27.5,16.2,83.8,12.3
2020,17031260200,"Census Tract 2602, Cook County, Illinois",36042.0,15984.0,9.7,11.0,34.7,9.6,291.0,3.0,402.0,291.0,27.6,29.9,70.1,5.8
2020,17031260300,"Census Tract 2603, Cook County, Illinois",18344.0,9838.0,29.2,56.7,34.5,1.5,547.0,3.21,672.0,547.0,18.6,9.9,90.1,12.2
2020,17031260400,"Census Tract 2604, Cook County, Illinois",,17281.0,25.8,20.6,32.5,3.2,452.0,2.56,545.0,452.0,17.1,25.0,75.0,5.8
2020,17031260500,"Census Tract 2605, Cook County, Illinois",39268.0,16145.0,15.4,31.5,28.400000000000006,7.8,604.0,2.84,764.0,604.0,20.9,43.9,56.1,0.0
2020,17031260600,"Census Tract 2606, Cook County, Illinois",29577.0,11671.0,46.8,50.4,40.2,10.2,533.0,3.93,880.0,533.0,39.4,38.3,61.7,13.3
2020,17031260700,"Census Tract 2607, Cook County, Illinois",27019.0,15818.0,25.3,41.6,34.0,7.2,523.0,3.12,725.0,523.0,27.9,24.5,75.5,3.3
