data_year,tract_geoid,NAME,acs_median_household_income,acs_per_capita_income,acs_unemployment_rate,acs_poverty_rate,acs_no_high_school_diploma_pct,acs_bachelor_or_higher_pct,acs_total_households,acs_avg_household_size,acs_total_housing_units,acs_occupied_housing_units,acs_vacancy_rate,acs_owner_occupied_pct,acs_renter_occupied_pct,acs_crowded_housing_pct
2022,17031834900,Census Tract 8349; Cook County; Illinois,18500.0,19101.0,29.3,44.4,28.200000000000003,9.7,612.0,1.45,826.0,612.0,25.9,21.4,78.6,1.1
2022,17031835000,Census Tract 8350; Cook County; Illinois,33857.0,17380.0,24.1,27.2,24.599999999999994,8.7,1980.0,2.8,2099.0,1980.0,5.7,34.3,65.7,2.4
2022,17031835100,Census Tract 8351; Cook County; Illinois,47049.0,18598.0,8.4,20.1,32.7,7.1,1332.0,3.49,1523.0,1332.0,12.5,56.8,43.2,8.9
2022,17031835200,Census Tract 8352; Cook County; Illinois,79875.0,31464.0,7.7,5.4,16.700000000000003,18.2,657.0,3.46,683.0,657.0,3.8,64.5,35.5,9.6
2022,17031835500,Census Tract 8355; Cook County; Illinois,18304.0,16054.0,30.2,47.5,19.299999999999997,13.3,699.0,1.98,923.0,699.0,24.3,17.9,82.1,1.9
2022,17031835600,Census Tract 8356; Cook County; Illinois,13438.0,10862.0,39.4,61.9,34.099999999999994,1.9,420.0,1.78,583.0,420.0,28.0,14.3,85.7,0.0
2022,17031835800,Census Tract 8358; Cook County; Illinois,79868.0,37201.0,15.8,17.7,3.9000000000000057,41.8,798.0,2.32,892.0,798.0,10.5,43.9,56.1,0.0
2022,17031836000,Census Tract 8360; Cook County; Illinois,77292.0,38834.0,10.6,24.6,8.799999999999997,45.4,1126.0,2.68,1238.0,1126.0,9.0,41.8,58.2,2.3
2022,17031836100,Census Tract 8361; Cook County; Illinois,20948.0,22585.0,20.2,44.4,18.299999999999997,33.6,782.0,2.34,963.0,782.0,18.8,16.5,83.5,1.0
2022,17031836200,Census Tract 8362; Cook County; Illinois,146250.0,18584.0,3.9,10.1,0.0,86.4,107.0,2.68,143.0,107.0,25.2,82.2,17.8,0.0
2022,17031836300,Census Tract 8363; Cook County; Illinois,64722.0,40152.0,12.4,27.4,2.5999999999999943,74.7,688.0,2.49,754.0,688.0,8.8,33.1,66.9,0.0
2022,17031836400,Census Tract 8364; Cook County; Illinois,24764.0,39997.0,20.0,31.8,8.599999999999994,42.3,1891.0,2.0,2007.0,1891.0,5.8,36.7,63.3,0.9
2022,17031836500,Census Tract 8365; Cook County; Illinois,30944.0,26421.0,9.7,24.7,20.599999999999994,33.7,779.0,1.95,816.0,779.0,4.5,15.0,85.0,0.0
2022,17031836600,Census Tract 8366; Cook County; Illinois,80763.0,51164.0,3.9,5.7,11.299999999999997,41.3,969.0,2.33,1114.0,969.0,13.0,28.2,71.8,2.3
2022,17031836700,Census Tract 8367; Cook County; Illinois,51434.0,33045.0,3.2,17.0,13.0,17.2,1033.0,2.4,1175.0,1033.0,12.1,27.6,72.4,2.3
2022,17031836800,Census Tract 8368; Cook County; Illinois,19453.0,12859.0,17.9,63.9,35.400000000000006,11.5,949.0,2.75,1159.0,949.0,18.1,16.8,83.2,3.6
2022,17031836900,Census Tract 8369; Cook County; Illinois,25650.0,14327.0,8.8,75.6,9.400000000000006,30.3,609.0,3.27,676.0,609.0,9.9,22.2,77.8,6.4
2022,17031837000,Census Tract 8370; Cook County; Illinois,41023.0,28935.0,16.9,26.7,16.799999999999997,37.2,815.0,2.25,981.0,815.0,16.9,26.0,74.0,6.8
2022,17031837100,Census Tract 8371; Cook County; Illinois,48880.0,33348.0,16.1,23.6,16.599999999999994,28.8,691.0,2.14,860.0,691.0,19.7,37.9,62.1,2.2
2022,17031837300,Census Tract 8373; Cook County; Illinois,18949.0,14948.0,18.5,52.1,17.099999999999994,10.9,919.0,2.48,1038.0,919.0,11.5,20.8,79.2,1.7
2022,17031837400,Census Tract 8374; Cook County; Illinois,51250.0,26403.0,24.4,38.4,11.900000000000006,20.0,744.0,2.72,867.0,744.0,14.2,45.6,54.4,4.0
2022,17031837800,Census Tract 8378; Cook County; Illinois,58681.0,31398.0,12.1,31.1,7.200000000000003,41.4,1243.0,2.21,1375.0,1243.0,9.6,23.2,76.8,0.0
2022,17031838000,Census Tract 8380; Cook County; Illinois,26673.0,33086.0,20.7,33.3,13.400000000000006,26.8,1423.0,1.88,1555.0,1423.0,8.5,25.9,74.1,3.0
2022,17031838100,Census Tract 8381; Cook County; Illinois,26000.0,54355.0,7.0,37.2,20.099999999999994,43.2,1066.0,1.38,1347.0,1066.0,20.9,19.6,80.4,4.6
2022,17031838200,Census Tract 8382; Cook County; Illinois,83929.0,46160.0,10.4,11.9,3.0999999999999943,59.8,372.0,2.77,428.0,372.0,13.1,50.8,49.2,0.0
2022,17031838300,Census Tract 8383; Cook County; Illinois,112381.0,95514.0,2.2,9.7,6.299999999999997,73.9,1414.0,1.7,1594.0,1414.0,11.3,11.7,88.3,2.9
2022,17031838600,Census Tract 8386; Cook County; Illinois,18537.0,23507.0,18.9,35.3,24.700000000000003,4.9,613.0,2.23,658.0,613.0,6.8,10.6,89.4,5.7
2022,17031838700,Census Tract 8387; Cook County; Illinois,21834.0,12854.0,12.9,45.1,23.5,10.8,1565.0,2.38,1927.0,1565.0,18.8,24.0,76.0,2.9
2022,17031838800,Census Tract 8388; Cook County; Illinois,29120.0,19259.0,12.2,37.1,18.5,15.2,1132.0,2.85,1315.0,1132.0,13.9,32.2,67.8,3.6
2022,17031839000,Census Tract 8390; Cook County; Illinois,110306.0,79323.0,10.7,15.6,3.299999999999997,74.8,6110.0,1.63,6886.0,6110.0,11.3,23.3,76.7,4.2
2022,17031839100,Census Tract 8391; Cook County; Illinois,122978.0,109846.0,4.2,6.6,4.5,80.9,4727.0,1.46,5407.0,4727.0,12.6,27.8,72.2,3.1999999999999997
2022,17031839200,Census Tract 8392; Cook County; Illinois,43090.0,45970.0,12.9,28.2,10.700000000000003,47.5,1476.0,1.61,1617.0,1476.0,8.7,44.6,55.4,7.1
2022,17031839500,Census Tract 8395; Cook County; Illinois,,42769.0,7.5,17.3,13.0,51.2,794.0,2.12,852.0,794.0,6.8,44.5,55.5,2.0
2022,17031839600,Census Tract 8396; Cook County; Illinois,65062.0,38115.0,9.0,23.4,21.599999999999994,31.4,982.0,1.98,1091.0,982.0,10.0,46.7,53.3,5.6
2022,17031839700,Census Tract 8397; Cook County; Illinois,83498.0,49756.0,2.8,9.4,13.400000000000006,55.4,1933.0,2.46,2013.0,1933.0,4.0,48.9,51.1,3.0
2022,17031839800,Census Tract 8398; Cook County; Illinois,77560.0,38708.0,6.7,17.8,13.299999999999997,51.0,1121.0,2.36,1198.0,1121.0,6.4,26.6,73.4,0.6
2022,17031839900,Census Tract 8399; Cook County; Illinois,100217.0,55221.0,4.4,8.3,10.0,46.8,2099.0,2.17,2198.0,2099.0,4.5,58.1,41.9,2.4
2022,17031840000,Census Tract 8400; Cook County; Illinois,105481.0,51729.0,13.6,17.7,21.0,38.0,1067.0,2.48,1132.0,1067.0,5.7,66.7,33.3,2.0
2022,17031840100,Census Tract 8401; Cook County; Illinois,66765.0,32558.0,10.3,10.2,14.0,29.1,1148.0,2.5,1211.0,1148.0,5.2,52.9,47.1,4.5
2022,17031840200,Census Tract 8402; Cook County; Illinois,41359.0,24875.0,4.6,29.0,33.8,20.5,827.0,2.65,864.0,827.0,4.3,59.5,40.5,3.5
2022,17031840300,Census Tract 8403; Cook County; Illinois,65909.0,34536.0,14.0,12.2,30.200000000000003,28.4,1258.0,2.9,1363.0,1258.0,7.7,77.4,22.6,4.3
2022,17031840400,Census Tract 8404; Cook County; Illinois,71667.0,28730.0,5.7,11.7,21.299999999999997,26.6,1168.0,2.93,1209.0,1168.0,3.4,76.6,23.4,2.4
2022,17031840700,Census Tract 8407; Cook County; Illinois,97727.0,33966.0,4.8,6.4,25.200000000000003,36.2,1256.0,3.11,1389.0,1256.0,9.6,52.3,47.7,4.3
2022,17031840800,Census Tract 8408; Cook County; Illinois,45326.0,17222.0,9.5,31.0,35.7,17.0,932.0,3.5,977.0,932.0,4.6,42.8,57.2,6.2
2022,17031841000,Census Tract 8410; Cook County; Illinois,103750.0,67910.0,0.6,19.7,9.799999999999997,65.2,665.0,1.73,683.0,665.0,2.6,50.1,49.9,3.0
2022,17031841100,Census Tract 8411; Cook County; Illinois,48542.0,30400.0,6.3,12.9,40.1,27.7,2838.0,2.46,2992.0,2838.0,5.1,39.3,60.7,0.4
2022,17031841200,Census Tract 8412; Cook County; Illinois,60498.0,27654.0,8.1,12.9,33.599999999999994,25.3,1727.0,2.56,1933.0,1727.0,10.7,20.6,79.4,3.1
2022,17031841300,Census Tract 8413; Cook County; Illinois,79744.0,46982.0,7.0,11.1,22.400000000000006,41.0,1916.0,2.25,1999.0,1916.0,4.2,47.4,52.6,6.1
