data_year,tract_geoid,NAME,acs_median_household_income,acs_per_capita_income,acs_unemployment_rate,acs_poverty_rate,acs_no_high_school_diploma_pct,acs_bachelor_or_higher_pct,acs_total_households,acs_avg_household_size,acs_total_housing_units,acs_occupied_housing_units,acs_vacancy_rate,acs_owner_occupied_pct,acs_renter_occupied_pct,acs_crowded_housing_pct
2023,17031010100,Census Tract 101; Cook County; Illinois,69460.0,45353.0,10.1,14.0,7.599999999999994,46.1,2190.0,1.64,2841.0,2190.0,22.9,31.5,68.5,2.0
2023,17031010201,Census Tract 102.01; Cook County; Illinois,49639.0,31978.0,7.9,25.0,19.200000000000003,32.2,3038.0,2.45,3276.0,3038.0,7.3,27.1,72.9,10.6
2023,17031010202,Census Tract 102.02; Cook County; Illinois,55119.0,33488.0,9.3,22.9,11.0,49.9,1130.0,2.05,1303.0,1130.0,13.3,23.9,76.1,8.0
2023,17031010300,Census Tract 103; Cook County; Illinois,65871.0,42487.0,4.2,8.0,9.099999999999994,47.3,3185.0,1.68,3377.0,3185.0,5.7,27.0,73.0,5.3
2023,17031010400,Census Tract 104; Cook County; Illinois,49017.0,33185.0,3.4,16.2,0.7999999999999972,63.6,2058.0,1.37,2460.0,2058.0,16.3,24.9,75.1,0.0
2023,17031010501,Census Tract 105.01; Cook County; Illinois,48250.0,43440.0,7.4,11.1,0.7999999999999972,67.3,2379.0,1.47,2705.0,2379.0,12.1,14.3,85.7,0.0
2023,17031010502,Census Tract 105.02; Cook County; Illinois,61367.0,40300.0,8.4,19.1,7.5,69.3,1637.0,1.95,1807.0,1637.0,9.4,28.6,71.4,3.6
2023,17031010503,Census Tract 105.03; Cook County; Illinois,21924.0,25756.0,2.8,46.9,12.799999999999997,48.8,1477.0,1.92,1570.0,1477.0,5.9,12.0,88.0,3.3
2023,17031010600,Census Tract 106; Cook County; Illinois,71920.0,42913.0,2.7,17.7,7.099999999999994,59.3,3066.0,2.13,3176.0,3066.0,3.5,35.7,64.3,5.2
2023,17031010701,Census Tract 107.01; Cook County; Illinois,74208.0,49609.0,3.0,8.3,13.400000000000006,56.3,1652.0,2.16,1753.0,1652.0,5.8,49.6,50.4,8.8
2023,17031010702,Census Tract 107.02; Cook County; Illinois,58289.0,29371.0,8.0,19.0,18.599999999999994,42.4,1998.0,2.56,2172.0,1998.0,8.0,19.8,80.2,7.9
2023,17031020100,Census Tract 201; Cook County; Illinois,69850.0,33789.0,9.5,17.3,14.200000000000003,32.0,1644.0,2.43,1739.0,1644.0,5.5,35.6,64.4,8.1
2023,17031020200,Census Tract 202; Cook County; Illinois,115559.0,41693.0,7.4,5.4,12.5,49.4,1999.0,3.56,2181.0,1999.0,8.3,76.5,23.5,4.9
2023,17031020301,Census Tract 203.01; Cook County; Illinois,76327.0,43535.0,9.0,13.2,2.0,56.0,2093.0,2.33,2233.0,2093.0,6.3,75.0,25.0,2.3
2023,17031020302,Census Tract 203.02; Cook County; Illinois,81563.0,48749.0,10.8,7.5,3.0999999999999943,53.5,1711.0,2.65,1845.0,1711.0,7.3,62.2,37.8,0.9
2023,17031020400,Census Tract 204; Cook County; Illinois,81840.0,48153.0,5.7,15.5,11.0,54.7,1707.0,2.51,1875.0,1707.0,9.0,46.7,53.3,4.7
2023,17031020500,Census Tract 205; Cook County; Illinois,46458.0,20755.0,7.1,32.8,19.900000000000006,27.9,2184.0,3.0,2487.0,2184.0,12.2,31.2,68.8,15.4
2023,17031020601,Census Tract 206.01; Cook County; Illinois,62015.0,30333.0,7.7,32.6,18.900000000000006,50.3,2052.0,2.89,2296.0,2052.0,10.6,46.2,53.8,6.6
2023,17031020602,Census Tract 206.02; Cook County; Illinois,87804.0,36730.0,2.8,14.6,17.0,55.7,1611.0,3.21,1775.0,1611.0,9.2,57.0,43.0,9.5
2023,17031020701,Census Tract 207.01; Cook County; Illinois,101250.0,53334.0,6.6,8.7,10.599999999999994,63.1,748.0,2.23,835.0,748.0,10.4,71.5,28.5,2.7
2023,17031020702,Census Tract 207.02; Cook County; Illinois,76812.0,26582.0,7.9,14.0,23.900000000000006,30.1,2487.0,3.33,2591.0,2487.0,4.0,44.8,55.2,19.1
2023,17031020801,Census Tract 208.01; Cook County; Illinois,73151.0,37058.0,4.7,11.2,7.200000000000003,38.5,2164.0,2.51,2339.0,2164.0,7.5,43.6,56.4,4.1
2023,17031020802,Census Tract 208.02; Cook County; Illinois,70044.0,21989.0,11.1,14.2,29.700000000000003,34.0,2125.0,4.14,2298.0,2125.0,7.5,32.8,67.2,10.0
2023,17031020901,Census Tract 209.01; Cook County; Illinois,52378.0,28589.0,5.6,25.6,22.599999999999994,36.9,2212.0,2.84,2456.0,2212.0,9.9,37.7,62.3,10.3
2023,17031020902,Census Tract 209.02; Cook County; Illinois,47963.0,24537.0,5.0,27.5,14.099999999999994,34.5,1564.0,2.31,1722.0,1564.0,9.2,48.1,51.9,6.1
2023,17031030101,Census Tract 301.01; Cook County; Illinois,49132.0,41700.0,17.8,17.5,5.299999999999997,50.0,2162.0,1.55,2456.0,2162.0,12.0,31.8,68.2,6.0
2023,17031030102,Census Tract 301.02; Cook County; Illinois,59622.0,46101.0,5.5,24.4,14.5,47.9,1989.0,1.7,2199.0,1989.0,9.5,40.8,59.2,0.5
2023,17031030103,Census Tract 301.03; Cook County; Illinois,55651.0,41115.0,7.0,26.4,12.299999999999997,52.8,1091.0,1.46,1179.0,1091.0,7.5,27.4,72.6,9.8
2023,17031030104,Census Tract 301.04; Cook County; Illinois,47330.0,23092.0,17.7,22.0,6.200000000000003,63.4,1043.0,1.65,1207.0,1043.0,13.6,37.1,62.9,2.8
2023,17031030200,Census Tract 302; Cook County; Illinois,103758.0,74397.0,5.4,11.4,5.700000000000003,65.3,2533.0,2.16,2770.0,2533.0,8.6,53.4,46.6,1.5
2023,17031030300,Census Tract 303; Cook County; Illinois,67143.0,49677.0,4.0,10.3,11.700000000000003,40.5,1470.0,2.24,1506.0,1470.0,2.4,36.0,64.0,5.1
2023,17031030400,Census Tract 304; Cook County; Illinois,97442.0,57875.0,3.8,13.1,2.200000000000003,61.1,1354.0,2.12,1403.0,1354.0,3.5,33.1,66.9,5.2
2023,17031030500,Census Tract 305; Cook County; Illinois,123464.0,69823.0,1.8,4.2,3.5999999999999943,73.9,3021.0,2.09,3245.0,3021.0,6.9,54.0,46.0,0.0
2023,17031030601,Census Tract 306.01; Cook County; Illinois,51136.0,35509.0,4.3,17.5,5.299999999999997,52.1,1908.0,1.87,2107.0,1908.0,9.4,27.5,72.5,7.5
2023,17031030603,Census Tract 306.03; Cook County; Illinois,54415.0,44323.0,6.9,12.9,6.400000000000006,57.3,1342.0,1.61,1527.0,1342.0,12.1,11.5,88.5,7.5
2023,17031030604,Census Tract 306.04; Cook County; Illinois,51032.0,48034.0,2.7,19.8,7.299999999999997,65.3,2058.0,1.35,2437.0,2058.0,15.6,25.6,74.4,3.1
