data_year,tract_geoid,NAME,acs_median_household_income,acs_per_capita_income,acs_unemployment_rate,acs_poverty_rate,acs_no_high_school_diploma_pct,acs_bachelor_or_higher_pct,acs_total_households,acs_avg_household_size,acs_total_housing_units,acs_occupied_housing_units,acs_vacancy_rate,acs_owner_occupied_pct,acs_renter_occupied_pct,acs_crowded_housing_pct
2019,17031812900,"Census Tract 8129, Cook County, Illinois",128182.0,50549.0,6.3,7.7,1.9000000000000057,78.1,1726.0,2.68,1867.0,1726.0,7.6,82.4,17.6,0.5
2019,17031813100,"Census Tract 8131, Cook County, Illinois",99808.0,46382.0,4.7,3.5,4.299999999999997,58.9,1792.0,2.76,1869.0,1792.0,4.1,61.4,38.6,0.0
2019,17031813200,"Census Tract 8132, Cook County, Illinois",135121.0,53304.0,1.7,5.9,3.9000000000000057,69.7,1543.0,2.76,1599.0,1543.0,3.5,71.3,28.7,0.0
2019,17031813400,"Census Tract 8134, Cook County, Illinois",50426.0,16220.0,5.6,23.1,44.2,10.9,1821.0,4.21,2070.0,1821.0,12.0,55.7,44.3,10.9
2019,17031814100,"Census Tract 8141, Cook County, Illinois",41972.0,16994.0,1.2,18.6,32.900000000000006,3.6,1241.0,3.43,1409.0,1241.0,11.9,39.7,60.3,11.6
2019,17031291600,"Census Tract 2916, Cook County, Illinois",53750.0,19999.0,0.0,14.7,25.900000000000006,24.1,285.0,3.32,394.0,285.0,27.7,33.3,66.7,2.8
2019,17031292400,"Census Tract 2924, Cook County, Illinois",32589.0,15969.0,6.6,30.0,28.599999999999994,8.2,625.0,3.19,915.0,625.0,31.7,25.4,74.6,4.1
2019,17031301100,"Census Tract 3011, Cook County, Illinois",31207.0,16342.0,8.3,25.3,42.2,14.7,784.0,2.83,890.0,784.0,11.9,27.4,72.6,9.7
2019,17031301600,"Census Tract 3016, Cook County, Illinois",28484.0,13295.0,12.5,33.2,42.7,13.0,1302.0,3.25,1429.0,1302.0,8.9,47.6,52.4,7.5
2019,17031660500,"Census Tract 6605, Cook County, Illinois",36657.0,15256.0,13.0,23.4,28.700000000000003,8.1,1315.0,3.39,1466.0,1315.0,10.3,45.1,54.9,4.3
2019,17031661100,"Census Tract 6611, Cook County, Illinois",59038.0,19997.0,14.3,14.5,22.400000000000006,9.0,1934.0,3.68,2007.0,1934.0,3.6,71.8,28.2,2.6
2019,17031670600,"Census Tract 6706, Cook County, Illinois",26250.0,21488.0,26.4,34.3,20.400000000000006,4.0,336.0,2.87,514.0,336.0,34.6,61.6,38.4,0.0
2019,17031690500,"Census Tract 6905, Cook County, Illinois",26154.0,17479.0,29.3,50.2,25.700000000000003,16.7,308.0,2.05,465.0,308.0,33.8,19.8,80.2,0.0
