data_year,tract_geoid,NAME,acs_median_household_income,acs_per_capita_income,acs_unemployment_rate,acs_poverty_rate,acs_no_high_school_diploma_pct,acs_bachelor_or_higher_pct,acs_total_households,acs_avg_household_size,acs_total_housing_units,acs_occupied_housing_units,acs_vacancy_rate,acs_owner_occupied_pct,acs_renter_occupied_pct,acs_crowded_housing_pct
2018,17031430200,"Census Tract 4302, Cook County, Illinois",22945.0,31144.0,18.6,32.6,76.7,3881.0,2379.0,3.21,2556.0,2379.0,6.9,14.3,85.7,1.5
2018,17031430500,"Census Tract 4305, Cook County, Illinois",18432.0,14093.0,18.9,58.6,92.1,2481.0,1585.0,3.69,2198.0,1585.0,27.9,9.0,91.0,5.7
2018,17031431400,"Census Tract 4314, Cook County, Illinois",28952.0,21646.0,17.0,39.8,78.5,5571.0,3336.0,3.41,4156.0,3336.0,19.7,14.0,86.0,7.3999999999999995
2018,17031440700,"Census Tract 4407, Cook County, Illinois",37228.0,22309.0,22.0,10.0,71.0,1271.0,607.0,3.43,688.0,607.0,11.8,67.1,32.9,0.0
2018,17031470100,"Census Tract 4701, Cook County, Illinois",25287.0,18759.0,21.9,17.7,86.6,2028.0,1046.0,3.46,1324.0,1046.0,21.0,46.6,53.4,1.8
2018,17031821402,"Census Tract 8214.02, Cook County, Illinois",49300.0,28951.0,13.6,12.2,83.8,2460.0,1448.0,3.12,1672.0,1448.0,13.4,69.8,30.2,0.0
2018,17031822101,"Census Tract 8221.01, Cook County, Illinois",70030.0,31819.0,5.0,6.6,73.0,3347.0,1617.0,3.32,1676.0,1617.0,3.5,82.3,17.7,2.4
2018,17031823102,"Census Tract 8231.02, Cook County, Illinois",71830.0,29552.0,2.3,5.8,85.5,2799.0,1229.0,3.34,1374.0,1229.0,10.6,67.9,32.1,4.0
2018,17031823304,"Census Tract 8233.04, Cook County, Illinois",49014.0,26754.0,14.4,10.5,79.2,4560.0,2388.0,3.42,2637.0,2388.0,9.4,56.1,43.9,3.5
2018,17031824507,"Census Tract 8245.07, Cook County, Illinois",61774.0,29396.0,10.1,18.9,75.2,3375.0,1742.0,3.31,1797.0,1742.0,3.1,70.7,29.3,4.5
2018,17031824800,"Census Tract 8248, Cook County, Illinois",46156.0,17165.0,14.1,23.8,81.3,4639.0,2287.0,4.09,2499.0,2287.0,8.5,69.5,30.5,4.0
2018,17031824900,"Census Tract 8249, Cook County, Illinois",34000.0,18252.0,16.5,29.8,84.6,2253.0,1108.0,3.62,1177.0,1108.0,5.9,69.9,30.1,3.8
2018,17031825400,"Census Tract 8254, Cook County, Illinois",63191.0,33608.0,6.8,10.6,72.1,4068.0,2219.0,3.22,2520.0,2219.0,11.9,72.1,27.9,1.3
2018,17031825501,"Census Tract 8255.01, Cook County, Illinois",48975.0,23519.0,12.2,10.9,83.2,4111.0,1997.0,3.75,2329.0,1997.0,14.3,56.0,44.0,1.9
2018,17031825503,"Census Tract 8255.03, Cook County, Illinois",58531.0,27221.0,6.8,12.5,60.5,5243.0,2624.0,3.29,2624.0,2624.0,0.0,74.4,25.6,1.0
