data_year,tract_geoid,NAME,acs_median_household_income,acs_per_capita_income,acs_unemployment_rate,acs_poverty_rate,acs_no_high_school_diploma_pct,acs_bachelor_or_higher_pct,acs_total_households,acs_avg_household_size,acs_total_housing_units,acs_occupied_housing_units,acs_vacancy_rate,acs_owner_occupied_pct,acs_renter_occupied_pct,acs_crowded_housing_pct
2021,17031010100,"Census Tract 101, Cook County, Illinois",60316.0,37737.0,6.6,26.7,12.099999999999994,51.1,2411.0,1.82,2935.0,2411.0,17.9,33.5,66.5,2.4
2021,17031010201,"Census Tract 102.01, Cook County, Illinois",43750.0,23633.0,4.0,35.3,14.200000000000003,32.8,2996.0,2.7,3217.0,2996.0,6.9,27.3,72.7,13.5
2021,17031010202,"Census Tract 102.02, Cook County, Illinois",45096.0,24172.0,10.5,18.2,18.799999999999997,36.4,1234.0,2.3,1298.0,1234.0,4.9,23.9,76.1,10.600000000000001
2021,17031010300,"Census Tract 103, Cook County, Illinois",60846.0,36797.0,4.1,11.8,12.900000000000006,43.5,2995.0,1.73,3363.0,2995.0,10.9,36.7,63.3,6.699999999999999
2021,17031010400,"Census Tract 104, Cook County, Illinois",43024.0,26869.0,3.7,23.7,2.9000000000000057,59.0,2034.0,1.46,2379.0,2034.0,14.5,27.2,72.8,2.6
2021,17031010501,"Census Tract 105.01, Cook County, Illinois",47364.0,39655.0,6.4,10.3,0.7999999999999972,59.8,2439.0,1.65,2691.0,2439.0,9.4,17.0,83.0,1.1
2021,17031010502,"Census Tract 105.02, Cook County, Illinois",48831.0,37050.0,2.0,23.4,3.200000000000003,65.9,1539.0,1.78,1793.0,1539.0,14.2,25.1,74.9,7.8
2021,17031010503,"Census Tract 105.03, Cook County, Illinois",16399.0,23076.0,3.4,55.3,17.200000000000003,43.0,1155.0,1.88,1411.0,1155.0,18.1,15.6,84.4,2.2
2021,17031010600,"Census Tract 106, Cook County, Illinois",58993.0,39243.0,2.0,18.4,6.400000000000006,63.2,2917.0,2.19,3168.0,2917.0,7.9,30.0,70.0,2.9000000000000004
2021,17031010701,"Census Tract 107.01, Cook County, Illinois",64007.0,45297.0,4.3,9.5,15.799999999999997,42.4,1564.0,2.33,1750.0,1564.0,10.6,52.7,47.3,9.0
2021,17031010702,"Census Tract 107.02, Cook County, Illinois",48799.0,23232.0,6.8,19.0,20.799999999999997,43.8,1845.0,2.68,2105.0,1845.0,12.4,21.3,78.7,12.5
2021,17031020100,"Census Tract 201, Cook County, Illinois",50041.0,28577.0,8.8,19.3,18.200000000000003,32.8,1624.0,2.41,1697.0,1624.0,4.3,37.0,63.0,4.9
2021,17031020200,"Census Tract 202, Cook County, Illinois",99987.0,36185.0,4.0,7.9,16.099999999999994,53.2,2037.0,3.46,2211.0,2037.0,7.9,75.1,24.9,4.5
2021,17031020301,"Census Tract 203.01, Cook County, Illinois",62917.0,33616.0,7.9,12.1,5.700000000000003,54.7,2197.0,2.41,2273.0,2197.0,3.3,73.7,26.3,1.3
2021,17031020302,"Census Tract 203.02, Cook County, Illinois",78987.0,42559.0,11.0,7.0,4.400000000000006,52.4,1699.0,2.94,1864.0,1699.0,8.9,64.2,35.8,2.1
2021,17031020400,"Census Tract 204, Cook County, Illinois",63092.0,42479.0,4.9,17.0,13.0,51.8,1710.0,2.39,1895.0,1710.0,9.8,47.6,52.4,4.1
2021,17031020500,"Census Tract 205, Cook County, Illinois",38271.0,16372.0,8.0,29.2,22.599999999999994,24.2,2160.0,2.93,2443.0,2160.0,11.6,23.1,76.9,13.0
2021,17031020601,"Census Tract 206.01, Cook County, Illinois",57250.0,29302.0,9.0,27.6,10.299999999999997,57.9,2051.0,2.88,2233.0,2051.0,8.2,48.8,51.2,8.3
2021,17031020602,"Census Tract 206.02, Cook County, Illinois",78293.0,29998.0,2.0,7.5,10.799999999999997,57.6,1672.0,3.47,1733.0,1672.0,3.5,48.5,51.5,9.2
2021,17031020701,"Census Tract 207.01, Cook County, Illinois",83571.0,47364.0,6.3,10.9,7.799999999999997,64.1,762.0,2.27,823.0,762.0,7.4,69.2,30.8,1.7
2021,17031020702,"Census Tract 207.02, Cook County, Illinois",55451.0,21278.0,9.9,13.2,23.299999999999997,29.7,2458.0,3.45,2570.0,2458.0,4.4,45.3,54.7,24.5
2021,17031020801,"Census Tract 208.01, Cook County, Illinois",57127.0,30570.0,3.3,12.6,14.400000000000006,29.6,2207.0,2.73,2437.0,2207.0,9.4,42.8,57.2,3.3
2021,17031020802,"Census Tract 208.02, Cook County, Illinois",57224.0,21784.0,9.9,18.3,35.7,31.7,2077.0,4.09,2377.0,2077.0,12.6,30.1,69.9,11.5
2021,17031020901,"Census Tract 209.01, Cook County, Illinois",47316.0,23791.0,2.1,22.8,21.700000000000003,36.1,2200.0,2.83,2468.0,2200.0,10.9,35.5,64.5,7.9
2021,17031020902,"Census Tract 209.02, Cook County, Illinois",42816.0,20405.0,2.8,28.3,18.0,26.1,1587.0,2.55,1775.0,1587.0,10.6,45.8,54.2,8.399999999999999
