data_year,latitude_key,longitude_key,tract_geoid
2018,41.651404,-87.545829,17031550100
2018,41.655086,-87.544686,17031550100
2018,41.657316,-87.55272,17031550200
2018,41.659119,-87.603159,17031540102
2018,41.669473,-87.634006,17031530503
2018,41.677692,-87.65285,17031530300
2018,41.677767,-87.643418,17031530400
2018,41.679047,-87.665092,17031750500
2018,41.680506,-87.662463,17031750500
2018,41.680917,-87.647445,17031530300
2018,41.68095,-87.535552,17031550100
2018,41.685395,-87.723693,17031740400
2018,41.685665,-87.621759,17031491400
2018,41.685722,-87.622544,17031491400
2018,41.686387,-87.633358,17031491200
2018,41.687166,-87.538186,17031520600
2018,41.68869,-87.608832,17031500300
2018,41.69038,-87.717147,17031740400
2018,41.690457,-87.604754,17031500300
2018,41.691647,-87.665785,17031750500
2018,41.692961,-87.600582,17031500200
2018,41.692987,-87.679776,17031750200
2018,41.693386,-87.703038,17031740300
2018,41.693399,-87.598728,17031500200
2018,41.693879,-87.616988,17031490901
2018,41.694429,-87.599185,17031500200
2018,41.695976,-87.705376,17031740300
2018,41.696182,-87.642171,17031491100
2018,41.697071,-87.626522,17031491000
2018,41.697552,-87.614776,17031490901
2018,41.698182,-87.662367,17031750200
2018,41.700359,-87.679282,17031720600
2018,41.702559,-87.564224,17031838800
2018,41.703914,-87.621225,17031490902
2018,41.704555,-87.629361,17031491000
2018,41.705412,-87.602266,17031500200
2018,41.706901,-87.534932,17031520400
2018,41.707819,-87.605265,17031500100
2018,41.709451,-87.713555,17031740200
2018,41.710911,-87.535239,17031520100
2018,41.711062,-87.640204,17031730500
2018,41.711288,-87.676548,17031720300
2018,41.713313,-87.555466,17031510200
2018,41.713369,-87.592259,17031500100
2018,41.713381,-87.527913,17031520100
2018,41.714416,-87.567477,17031510300
2018,41.714588,-87.681484,17031720300
2018,41.715163,-87.533787,17031520100
2018,41.715653,-87.638965,17031730500
2018,41.717144,-87.552401,17031510100
2018,41.718251,-87.611357,17031490500
2018,41.720188,-87.656718,17031730400
2018,41.72029,-87.582898,17031510300
2018,41.72088,-87.63412,17031730500
2018,41.721026,-87.643094,17031730500
2018,41.721234,-87.655052,17031730400
2018,41.7228,-87.662758,17031730300
2018,41.724713,-87.623208,17031490300
2018,41.725099,-87.654541,17031730201
2018,41.726035,-87.567403,17031480400
2018,41.726735,-87.566952,17031480400
2018,41.727241,-87.555136,17031480500
2018,41.72738,-87.545611,17031461000
2018,41.72842,-87.608271,17031440900
2018,41.729014,-87.554259,17031461000
2018,41.733003,-87.544832,17031833900
2018,41.734494,-87.627429,17031842400
2018,41.735261,-87.639515,17031711500
2018,41.736263,-87.626632,17031842400
2018,41.737216,-87.631171,17031842400
2018,41.737732,-87.628186,17031842400
2018,41.739328,-87.606767,17031440202
2018,41.739372,-87.730039,17031700302
2018,41.739798,-87.653499,17031711100
2018,41.740233,-87.653529,17031711100
2018,41.740328,-87.631139,17031842400
2018,41.741481,-87.565669,17031460400
2018,41.741899,-87.709813,17031700401
2018,41.742164,-87.672606,17031711200
2018,41.74243,-87.653862,17031711100
2018,41.742454,-87.731868,17031700301
2018,41.742502,-87.634048,17031842400
2018,41.743322,-87.61062,17031440202
2018,41.74371,-87.605475,17031440202
2018,41.744013,-87.605499,17031440202
2018,41.744169,-87.553044,17031460302
2018,41.744236,-87.635863,17031842400
2018,41.744465,-87.54298,17031460200
2018,41.74476,-87.740254,17031700301
2018,41.745032,-87.717215,17031700401
2018,41.745035,-87.693347,17031700501
2018,41.745382,-87.651521,17031710800
2018,41.745482,-87.550111,17031460100
2018,41.74592,-87.71316,17031700401
2018,41.746651,-87.739872,17031700301
2018,41.746662,-87.627603,17031842400
2018,41.747155,-87.732338,17031700301
2018,41.747655,-87.687746,17031700501
2018,41.747851,-87.682449,17031700501
2018,41.747987,-87.669128,17031710500
2018,41.749087,-87.604769,17031440101
2018,41.749459,-87.720146,17031700401
2018,41.74982,-87.693228,17031700501
2018,41.750297,-87.647071,17031710800
2018,41.751956,-87.628563,17031691200
2018,41.752001,-87.654946,17031710700
2018,41.752276,-87.617594,17031691300
2018,41.752931,-87.682971,17031700100
2018,41.753762,-87.708933,17031700100
2018,41.753986,-87.707413,17031700100
2018,41.754475,-87.557379,17031431301
2018,41.754505,-87.671386,17031710400
2018,41.754803,-87.646003,17031710200
2018,41.755829,-87.736993,17031650500
2018,41.756041,-87.656765,17031710200
2018,41.756293,-87.72224,17031650500
2018,41.757471,-87.632282,17031691200
2018,41.75764,-87.585176,17031834200
2018,41.75883,-87.577162,17031834200
2018,41.759006,-87.649384,17031681400
2018,41.75922,-87.56185,17031431302
2018,41.759248,-87.559768,17031431400
2018,41.759615,-87.556801,17031431400
2018,41.759695,-87.676277,17031672000
2018,41.760652,-87.676813,17031672000
2018,41.760667,-87.607179,17031690900
2018,41.761112,-87.557639,17031431400
2018,41.761257,-87.575725,17031430800
2018,41.761493,-87.558029,17031431400
2018,41.762399,-87.623736,17031691000
2018,41.762592,-87.572316,17031430600
2018,41.76263,-87.572553,17031430600
2018,41.76263,-87.57255,17031430600
2018,41.763039,-87.63902,17031681300
2018,41.763205,-87.559079,17031431400
2018,41.763422,-87.558253,17031431400
2018,41.763677,-87.560173,17031431400
2018,41.764003,-87.601896,17031841800
2018,41.764373,-87.705686,17031660900
2018,41.764526,-87.559754,17031430700
2018,41.764571,-87.600307,17031841800
2018,41.764874,-87.560855,17031430700
2018,41.765061,-87.577351,17031430500
2018,41.765324,-87.658373,17031834900
2018,41.765457,-87.723528,17031650500
2018,41.765474,-87.664485,17031671500
2018,41.765732,-87.622372,17031690400
2018,41.76655,-87.56527,17031430102
2018,41.766552,-87.719283,17031650400
2018,41.766785,-87.611313,17031690500
2018,41.76739,-87.566933,17031430102
2018,41.767477,-87.667976,17031671500
2018,41.767569,-87.581288,17031430200
2018,41.767616,-87.691346,17031660900
2018,41.768666,-87.648703,17031681100
2018,41.7687,-87.573095,17031430101
2018,41.769414,-87.608999,17031421200
2018,41.770346,-87.643171,17031681200
2018,41.770399,-87.569907,17031843900
2018,41.770529,-87.739844,17031650500
2018,41.771053,-87.692476,17031660900
2018,41.773038,-87.567162,17031843900
2018,41.773119,-87.568932,17031843900
2018,41.773223,-87.636873,17031680900
2018,41.773742,-87.601228,17031420800
2018,41.773912,-87.638721,17031680900
2018,41.773912,-87.63872,17031680900
2018,41.774215,-87.697714,17031660800
2018,41.77475,-87.708583,17031660500
2018,41.774895,-87.6532,17031681000
2018,41.775171,-87.713898,17031650302
2018,41.775193,-87.66368,17031671100
2018,41.775241,-87.640704,17031680900
2018,41.775497,-87.641861,17031680900
2018,41.775874,-87.734841,17031650301
2018,41.77611,-87.6399,17031680900
2018,41.776131,-87.640689,17031680900
2018,41.776742,-87.641158,17031680900
2018,41.777249,-87.640539,17031680900
2018,41.7775,-87.617085,17031842500
2018,41.777769,-87.631353,17031680900
2018,41.777799,-87.590179,17031843900
2018,41.777846,-87.586406,17031843900
2018,41.778255,-87.778985,17031640300
2018,41.778336,-87.635563,17031680900
2018,41.778432,-87.598203,17031834400
2018,41.778514,-87.634613,17031680900
2018,41.778541,-87.633617,17031680900
2018,41.778895,-87.682265,17031660700
2018,41.779081,-87.596702,17031834400
2018,41.77942,-87.645538,17031681000
2018,41.779703,-87.644751,17031680900
2018,41.779783,-87.64125,17031680900
2018,41.779819,-87.591495,17031834400
2018,41.779841,-87.719187,17031650100
2018,41.779966,-87.616739,17031842500
2018,41.780401,-87.6027,17031420800
2018,41.780463,-87.605308,17031420400
2018,41.780495,-87.59849,17031834400
2018,41.781317,-87.604346,17031420400
2018,41.781675,-87.675679,17031670500
2018,41.782066,-87.672209,17031670600
2018,41.783628,-87.591052,17031420200
2018,41.783883,-87.781559,17031640400
2018,41.783986,-87.615539,17031420600
2018,41.78405,-87.688302,17031835000
2018,41.784392,-87.601974,17031420400
2018,41.78449,-87.647682,17031834800
2018,41.784508,-87.657412,17031670900
2018,41.784889,-87.601496,17031420400
2018,41.785087,-87.599058,17031420300
2018,41.785198,-87.588579,17031420100
2018,41.785279,-87.601124,17031420300
2018,41.785289,-87.600163,17031420300
2018,41.785355,-87.609067,17031420500
2018,41.785399,-87.597162,17031420300
2018,41.785697,-87.593903,17031420200
2018,41.785752,-87.590311,17031420200
2018,41.785854,-87.603817,17031420400
2018,41.786046,-87.591237,17031420200
2018,41.786173,-87.73238,17031620300
2018,41.787408,-87.707744,17031630900
2018,41.787764,-87.602285,17031836200
2018,41.787813,-87.598277,17031836200
2018,41.788004,-87.599648,17031836200
2018,41.788157,-87.603211,17031836200
2018,41.788192,-87.595592,17031411200
2018,41.788412,-87.719726,17031620400
2018,41.788488,-87.587095,17031411000
2018,41.788555,-87.593956,17031411200
2018,41.788813,-87.604889,17031836200
2018,41.788876,-87.60489,17031836200
2018,41.788982,-87.600944,17031836200
2018,41.789006,-87.598655,17031836200
2018,41.78914,-87.595552,17031411200
2018,41.789212,-87.596435,17031836200
2018,41.789224,-87.604896,17031836200
2018,41.789263,-87.591194,17031411100
2018,41.789531,-87.602855,17031836200
2018,41.789565,-87.587086,17031411000
2018,41.789582,-87.600928,17031836200
2018,41.789588,-87.602326,17031836200
2018,41.789621,-87.597784,17031836200
2018,41.789628,-87.597133,17031836200
2018,41.78964,-87.601268,17031836200
2018,41.789723,-87.623278,17031400500
2018,41.789752,-87.601272,17031836200
2018,41.78988,-87.602764,17031836200
2018,41.790012,-87.601281,17031836200
2018,41.790181,-87.600803,17031836200
2018,41.790202,-87.779422,17031561100
2018,41.790218,-87.605508,17031836200
2018,41.790224,-87.604612,17031836200
2018,41.790282,-87.601671,17031836200
2018,41.790347,-87.597997,17031836200
2018,41.790555,-87.602813,17031836200
2018,41.790555,-87.582951,17031411000
2018,41.790637,-87.632262,17031834600
2018,41.791021,-87.605529,17031836200
2018,41.791067,-87.601647,17031836200
2018,41.791333,-87.602895,17031836200
2018,41.791795,-87.724967,17031620300
2018,41.791952,-87.602796,17031836200
2018,41.792073,-87.603374,17031836200
2018,41.792213,-87.59995,17031836200
2018,41.792318,-87.594404,17031411200
2018,41.79248,-87.712326,17031630900
2018,41.793042,-87.601363,17031836200
2018,41.793198,-87.599627,17031836200
2018,41.793298,-87.688377,17031835100
2018,41.793742,-87.582434,17031411000
2018,41.793753,-87.583218,17031411000
2018,41.793819,-87.584935,17031411000
2018,41.793828,-87.684329,17031835100
2018,41.793847,-87.770309,17031560800
2018,41.7941,-87.598143,17031836200
2018,41.794143,-87.710961,17031630300
2018,41.794164,-87.670066,17031611700
2018,41.794451,-87.58618,17031411000
2018,41.794456,-87.601381,17031836200
2018,41.794687,-87.580465,17031411000
2018,41.794939,-87.710978,17031630300
2018,41.795351,-87.590765,17031410800
2018,41.79551,-87.581216,17031410900
2018,41.795535,-87.588093,17031410800
2018,41.795543,-87.605691,17031410500
2018,41.795658,-87.759233,17031560700
2018,41.795865,-87.725026,17031620200
2018,41.7959,-87.595566,17031410700
2018,41.796083,-87.642718,17031843800
2018,41.796225,-87.630305,17031835600
2018,41.796235,-87.581504,17031410900
2018,41.796361,-87.625781,17031836100
2018,41.797098,-87.616574,17031400300
2018,41.79758,-87.705261,17031630300
2018,41.797762,-87.586022,17031410900
2018,41.798055,-87.725092,17031620200
2018,41.798055,-87.68984,17031630500
2018,41.798094,-87.584782,17031410900
2018,41.798447,-87.617854,17031836100
2018,41.798678,-87.592802,17031410700
2018,41.799011,-87.583495,17031410900
2018,41.799149,-87.722669,17031620100
2018,41.799252,-87.588443,17031410800
2018,41.799396,-87.625779,17031836100
2018,41.799519,-87.759992,17031560700
2018,41.799656,-87.601033,17031410600
2018,41.80012,-87.589053,17031410800
2018,41.800437,-87.727754,17031570500
2018,41.800787,-87.590481,17031410800
2018,41.800867,-87.585626,17031410100
